word,colour,type,block_identity,correct_response,trial_start_time,accuracy,response,response_on,response_off,trial_number,randomid,subject_number,session_time,time_of_first_t,stimulus_on,stimulus_off,iti_on,iti_off,iti_dur,session_code
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,red,symbol,symbol,r,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,blue,symbol,symbol,b,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,green,symbol,symbol,g,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
%$!@,yellow,symbol,symbol,y,,,,,,,,,,,,,,,,
