word,colour,type,block_identity,correct_response,subject_number,randomid,session_code,session_time,trial_number,trial_start_time,time_of_first_t,stimulus_on,response_on,stimulus_off,response,accuracy,rt,iti_on,iti_off,iti_dur
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
red,red,congurent,congurent,r,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
blue,blue,congurent,congurent,b,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
green,green,congurent,congurent,g,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
yellow,yellow,congurent,congurent,y,,,,,,,,,,,,,,,,
