word,colour,type,block_identity,correct_response,subject_number,randomid,session_code,session_time,trial_number,trial_start_time,time_of_first_t,stimulus_on,response_on,stimulus_off,response,accuracy,rt,iti_on,iti_off,iti_dur
song,red,neutral,neutral,r,,,,,,,,,,,,,,,,
song,red,neutral,neutral,r,,,,,,,,,,,,,,,,
song,red,neutral,neutral,r,,,,,,,,,,,,,,,,
song,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
song,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
song,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
song,green,neutral,neutral,g,,,,,,,,,,,,,,,,
song,green,neutral,neutral,g,,,,,,,,,,,,,,,,
song,green,neutral,neutral,g,,,,,,,,,,,,,,,,
song,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
song,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
song,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
top,red,neutral,neutral,r,,,,,,,,,,,,,,,,
top,red,neutral,neutral,r,,,,,,,,,,,,,,,,
top,red,neutral,neutral,r,,,,,,,,,,,,,,,,
top,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
top,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
top,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
top,green,neutral,neutral,g,,,,,,,,,,,,,,,,
top,green,neutral,neutral,g,,,,,,,,,,,,,,,,
top,green,neutral,neutral,g,,,,,,,,,,,,,,,,
top,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
top,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
top,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
hotel,red,neutral,neutral,r,,,,,,,,,,,,,,,,
hotel,red,neutral,neutral,r,,,,,,,,,,,,,,,,
hotel,red,neutral,neutral,r,,,,,,,,,,,,,,,,
hotel,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
hotel,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
hotel,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
hotel,green,neutral,neutral,g,,,,,,,,,,,,,,,,
hotel,green,neutral,neutral,g,,,,,,,,,,,,,,,,
hotel,green,neutral,neutral,g,,,,,,,,,,,,,,,,
hotel,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
hotel,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
hotel,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
credit,red,neutral,neutral,r,,,,,,,,,,,,,,,,
credit,red,neutral,neutral,r,,,,,,,,,,,,,,,,
credit,red,neutral,neutral,r,,,,,,,,,,,,,,,,
credit,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
credit,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
credit,blue,neutral,neutral,b,,,,,,,,,,,,,,,,
credit,green,neutral,neutral,g,,,,,,,,,,,,,,,,
credit,green,neutral,neutral,g,,,,,,,,,,,,,,,,
credit,green,neutral,neutral,g,,,,,,,,,,,,,,,,
credit,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
credit,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
credit,yellow,neutral,neutral,y,,,,,,,,,,,,,,,,
